record_type,step,pc,inst,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,mem_access,mem_width,pa_shifted,va_raw,value
STEP,1,0x00000000,0x00000413,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,,,
MEM,1,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000000,0x00000000,0x00000413
STEP,2,0x00000004,0x00052137,0x00000000,0x00000000,0x00052000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,,,
MEM,2,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000001,0x00000004,0x00052137
STEP,3,0x00000008,0x00010113,0x00000000,0x00000000,0x00052000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,,,
MEM,3,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000002,0x00000008,0x00010113
STEP,4,0x0000000c,0x000010b7,0x00000000,0x00001000,0x00052000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,,,
MEM,4,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000003,0x0000000c,0x000010b7
STEP,5,0x00000010,0x22408093,0x00000000,0x00001224,0x00052000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,,,
MEM,5,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000004,0x00000010,0x22408093
STEP,6,0x00000014,0x000080e7,0x00000000,0x00000018,0x00052000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,,,
MEM,6,,,,,,,,,,,,,,,,,,,READ,WORD,0x00000005,0x00000014,0x000080e7
STEP,7,0x00001224,0xff410113,0x00000000,0x00000018,0x00051ff4,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,,,
