现在指定了镜像文件
文件加载了: /home/abc/ysyx-workbench/am-kernels/benchmarks/microbench/build/microbench-riscv32i-ysyxsoc.bin, size = 29280 bytes
[C++ DUT] step cycle=0
[C++ DUT] step cycle=1
[C++ DUT] step cycle=2
[C++ DUT] step cycle=3
[C++ DUT] step cycle=4
[MTRACE] valid wen=0 addr=0x3000004c wdata=0x00000000 rdata=0x21000297
[MTRACE] valid wen=1 addr=0x0f000000 wdata=0x21000297 rdata=0x21000297
[MTRACE] valid wen=0 addr=0x30000050 wdata=0x00000000 rdata=0x10028293
[MTRACE] valid wen=1 addr=0x0f000004 wdata=0x10028293 rdata=0x10028293
[MTRACE] valid wen=0 addr=0x30000054 wdata=0x00000000 rdata=0x91000317
[HB c=99] pc=0x30000034 lsu_st(wreq=0 wb=0 rar=0 rr=0) lsu_act(ld=0 st=0) ifu_st(ar=0 r=0 pipe=0)
[MTRACE] valid wen=1 addr=0x0f000008 wdata=0x91000317 rdata=0x91000317
[MTRACE] valid wen=0 addr=0x30000058 wdata=0x00000000 rdata=0xff830313
[MTRACE] valid wen=1 addr=0x0f00000c wdata=0xff830313 rdata=0xff830313
[MTRACE] valid wen=0 addr=0x3000005c wdata=0x00000000 rdata=0x91007397
[MTRACE] valid wen=1 addr=0x0f000010 wdata=0x91007397 rdata=0x91007397
[MTRACE] valid wen=0 addr=0x30000060 wdata=0x00000000 rdata=0xcd038393
[MTRACE] valid wen=1 addr=0x0f000014 wdata=0xcd038393 rdata=0xcd038393
[MTRACE] valid wen=0 addr=0x30000064 wdata=0x00000000 rdata=0x00735c63
[MTRACE] valid wen=1 addr=0x0f000018 wdata=0x00735c63 rdata=0x00735c63
[MTRACE] valid wen=0 addr=0x30000068 wdata=0x00000000 rdata=0x0002ae03
[MTRACE] valid wen=1 addr=0x0f00001c wdata=0x0002ae03 rdata=0x0002ae03
[MTRACE] valid wen=0 addr=0x3000006c wdata=0x00000000 rdata=0x01c32023
[MTRACE] valid wen=1 addr=0x0f000020 wdata=0x01c32023 rdata=0x01c32023
[MTRACE] valid wen=0 addr=0x30000070 wdata=0x00000000 rdata=0x00428293
[MTRACE] valid wen=1 addr=0x0f000024 wdata=0x00428293 rdata=0x00428293
[MTRACE] valid wen=0 addr=0x30000074 wdata=0x00000000 rdata=0x00430313
[MTRACE] valid wen=1 addr=0x0f000028 wdata=0x00430313 rdata=0x00430313
[MTRACE] valid wen=0 addr=0x30000078 wdata=0x00000000 rdata=0xfedff06f
[MTRACE] valid wen=1 addr=0x0f00002c wdata=0xfedff06f rdata=0xfedff06f
[MTRACE] valid wen=0 addr=0x3000007c wdata=0x00000000 rdata=0x00000293
[MTRACE] valid wen=1 addr=0x0f000030 wdata=0x00000293 rdata=0x00000293
[MTRACE] valid wen=0 addr=0x30000080 wdata=0x00000000 rdata=0x00000313
[MTRACE] valid wen=1 addr=0x0f000034 wdata=0x00000313 rdata=0x00000313
[MTRACE] valid wen=0 addr=0x30000084 wdata=0x00000000 rdata=0x00000393
[MTRACE] valid wen=1 addr=0x0f000038 wdata=0x00000393 rdata=0x00000393
