分支BTB组数,分支BTB相联度,jalBTB组数,jalBTB相联度,算法,总分支,正确,误预测,准确率(%),分支总数,分支正确,分支准确率(%),jal总数,jal正确,jal准确率(%)
64,4,64,4,BTFN+SplitJal,58781298,50296020,8485278,85.56,53213763,44728630,84.05,5567535,5567390,100.00
64,4,64,2,BTFN+SplitJal,58781298,50268047,8513251,85.52,53213763,44728630,84.05,5567535,5539417,99.49
64,4,64,1,BTFN+SplitJal,58781298,50219126,8562172,85.43,53213763,44728630,84.05,5567535,5490496,98.62
64,2,64,4,BTFN+SplitJal,58781298,50190062,8591236,85.38,53213763,44622672,83.86,5567535,5567390,100.00
64,1,64,4,BTFN+SplitJal,58781298,50177521,8603777,85.36,53213763,44610131,83.83,5567535,5567390,100.00
64,4,32,4,BTFN+SplitJal,58781298,50174032,8607266,85.36,53213763,44728630,84.05,5567535,5445402,97.81
64,2,64,2,BTFN+SplitJal,58781298,50162089,8619209,85.34,53213763,44622672,83.86,5567535,5539417,99.49
64,1,64,2,BTFN+SplitJal,58781298,50149548,8631750,85.32,53213763,44610131,83.83,5567535,5539417,99.49
32,4,64,4,BTFN+SplitJal,58781298,50132554,8648744,85.29,53213763,44565164,83.75,5567535,5567390,100.00
64,2,64,1,BTFN+SplitJal,58781298,50113168,8668130,85.25,53213763,44622672,83.86,5567535,5490496,98.62
32,4,64,2,BTFN+SplitJal,58781298,50104581,8676717,85.24,53213763,44565164,83.75,5567535,5539417,99.49
64,4,32,2,BTFN+SplitJal,58781298,50103063,8678235,85.24,53213763,44728630,84.05,5567535,5374433,96.53
64,1,64,1,BTFN+SplitJal,58781298,50100627,8680671,85.23,53213763,44610131,83.83,5567535,5490496,98.62
32,2,64,4,BTFN+SplitJal,58781298,50092987,8688311,85.22,53213763,44525597,83.67,5567535,5567390,100.00
64,2,32,4,BTFN+SplitJal,58781298,50068074,8713224,85.18,53213763,44622672,83.86,5567535,5445402,97.81
32,2,64,2,BTFN+SplitJal,58781298,50065014,8716284,85.17,53213763,44525597,83.67,5567535,5539417,99.49
64,4,32,1,BTFN+SplitJal,58781298,50060141,8721157,85.16,53213763,44728630,84.05,5567535,5331511,95.76
32,4,64,1,BTFN+SplitJal,58781298,50055660,8725638,85.16,53213763,44565164,83.75,5567535,5490496,98.62
64,1,32,4,BTFN+SplitJal,58781298,50055533,8725765,85.16,53213763,44610131,83.83,5567535,5445402,97.81
32,1,64,4,BTFN+SplitJal,58781298,50028871,8752427,85.11,53213763,44461481,83.55,5567535,5567390,100.00
32,2,64,1,BTFN+SplitJal,58781298,50016093,8765205,85.09,53213763,44525597,83.67,5567535,5490496,98.62
32,4,32,4,BTFN+SplitJal,58781298,50010566,8770732,85.08,53213763,44565164,83.75,5567535,5445402,97.81
32,1,64,2,BTFN+SplitJal,58781298,50000898,8780400,85.06,53213763,44461481,83.55,5567535,5539417,99.49
64,2,32,2,BTFN+SplitJal,58781298,49997105,8784193,85.06,53213763,44622672,83.86,5567535,5374433,96.53
64,1,32,2,BTFN+SplitJal,58781298,49984564,8796734,85.03,53213763,44610131,83.83,5567535,5374433,96.53
32,2,32,4,BTFN+SplitJal,58781298,49970999,8810299,85.01,53213763,44525597,83.67,5567535,5445402,97.81
64,4,16,4,BTFN+SplitJal,58781298,49968038,8813260,85.01,53213763,44728630,84.05,5567535,5239408,94.11
64,2,32,1,BTFN+SplitJal,58781298,49954183,8827115,84.98,53213763,44622672,83.86,5567535,5331511,95.76
32,1,64,1,BTFN+SplitJal,58781298,49951977,8829321,84.98,53213763,44461481,83.55,5567535,5490496,98.62
64,1,32,1,BTFN+SplitJal,58781298,49941642,8839656,84.96,53213763,44610131,83.83,5567535,5331511,95.76
32,4,32,2,BTFN+SplitJal,58781298,49939597,8841701,84.96,53213763,44565164,83.75,5567535,5374433,96.53
32,1,32,4,BTFN+SplitJal,58781298,49906883,8874415,84.90,53213763,44461481,83.55,5567535,5445402,97.81
64,4,16,2,BTFN+SplitJal,58781298,49902893,8878405,84.90,53213763,44728630,84.05,5567535,5174263,92.94
32,2,32,2,BTFN+SplitJal,58781298,49900030,8881268,84.89,53213763,44525597,83.67,5567535,5374433,96.53
32,4,32,1,BTFN+SplitJal,58781298,49896675,8884623,84.89,53213763,44565164,83.75,5567535,5331511,95.76
64,4,16,1,BTFN+SplitJal,58781298,49890820,8890478,84.88,53213763,44728630,84.05,5567535,5162190,92.72
64,4,8,4,BTFN+SplitJal,58781298,49873063,8908235,84.85,53213763,44728630,84.05,5567535,5144433,92.40
64,2,16,4,BTFN+SplitJal,58781298,49862080,8919218,84.83,53213763,44622672,83.86,5567535,5239408,94.11
32,2,32,1,BTFN+SplitJal,58781298,49857108,8924190,84.82,53213763,44525597,83.67,5567535,5331511,95.76
64,1,16,4,BTFN+SplitJal,58781298,49849539,8931759,84.81,53213763,44610131,83.83,5567535,5239408,94.11
64,4,8,2,BTFN+SplitJal,58781298,49843948,8937350,84.80,53213763,44728630,84.05,5567535,5115318,91.88
64,4,8,1,BTFN+SplitJal,58781298,49843823,8937475,84.80,53213763,44728630,84.05,5567535,5115193,91.88
32,1,32,2,BTFN+SplitJal,58781298,49835914,8945384,84.78,53213763,44461481,83.55,5567535,5374433,96.53
32,4,16,4,BTFN+SplitJal,58781298,49804572,8976726,84.73,53213763,44565164,83.75,5567535,5239408,94.11
64,2,16,2,BTFN+SplitJal,58781298,49796935,8984363,84.72,53213763,44622672,83.86,5567535,5174263,92.94
32,1,32,1,BTFN+SplitJal,58781298,49792992,8988306,84.71,53213763,44461481,83.55,5567535,5331511,95.76
64,2,16,1,BTFN+SplitJal,58781298,49784862,8996436,84.70,53213763,44622672,83.86,5567535,5162190,92.72
64,1,16,2,BTFN+SplitJal,58781298,49784394,8996904,84.69,53213763,44610131,83.83,5567535,5174263,92.94
64,1,16,1,BTFN+SplitJal,58781298,49772321,9008977,84.67,53213763,44610131,83.83,5567535,5162190,92.72
64,2,8,4,BTFN+SplitJal,58781298,49767105,9014193,84.66,53213763,44622672,83.86,5567535,5144433,92.40
32,2,16,4,BTFN+SplitJal,58781298,49765005,9016293,84.66,53213763,44525597,83.67,5567535,5239408,94.11
64,1,8,4,BTFN+SplitJal,58781298,49754564,9026734,84.64,53213763,44610131,83.83,5567535,5144433,92.40
32,4,16,2,BTFN+SplitJal,58781298,49739427,9041871,84.62,53213763,44565164,83.75,5567535,5174263,92.94
64,2,8,2,BTFN+SplitJal,58781298,49737990,9043308,84.62,53213763,44622672,83.86,5567535,5115318,91.88
64,2,8,1,BTFN+SplitJal,58781298,49737865,9043433,84.62,53213763,44622672,83.86,5567535,5115193,91.88
32,4,16,1,BTFN+SplitJal,58781298,49727354,9053944,84.60,53213763,44565164,83.75,5567535,5162190,92.72
64,1,8,2,BTFN+SplitJal,58781298,49725449,9055849,84.59,53213763,44610131,83.83,5567535,5115318,91.88
64,1,8,1,BTFN+SplitJal,58781298,49725324,9055974,84.59,53213763,44610131,83.83,5567535,5115193,91.88
32,4,8,4,BTFN+SplitJal,58781298,49709597,9071701,84.57,53213763,44565164,83.75,5567535,5144433,92.40
32,1,16,4,BTFN+SplitJal,58781298,49700889,9080409,84.55,53213763,44461481,83.55,5567535,5239408,94.11
32,2,16,2,BTFN+SplitJal,58781298,49699860,9081438,84.55,53213763,44525597,83.67,5567535,5174263,92.94
32,2,16,1,BTFN+SplitJal,58781298,49687787,9093511,84.53,53213763,44525597,83.67,5567535,5162190,92.72
32,4,8,2,BTFN+SplitJal,58781298,49680482,9100816,84.52,53213763,44565164,83.75,5567535,5115318,91.88
32,4,8,1,BTFN+SplitJal,58781298,49680357,9100941,84.52,53213763,44565164,83.75,5567535,5115193,91.88
32,2,8,4,BTFN+SplitJal,58781298,49670030,9111268,84.50,53213763,44525597,83.67,5567535,5144433,92.40
32,2,8,2,BTFN+SplitJal,58781298,49640915,9140383,84.45,53213763,44525597,83.67,5567535,5115318,91.88
32,2,8,1,BTFN+SplitJal,58781298,49640790,9140508,84.45,53213763,44525597,83.67,5567535,5115193,91.88
32,1,16,2,BTFN+SplitJal,58781298,49635744,9145554,84.44,53213763,44461481,83.55,5567535,5174263,92.94
32,1,16,1,BTFN+SplitJal,58781298,49623671,9157627,84.42,53213763,44461481,83.55,5567535,5162190,92.72
32,1,8,4,BTFN+SplitJal,58781298,49605914,9175384,84.39,53213763,44461481,83.55,5567535,5144433,92.40
32,1,8,2,BTFN+SplitJal,58781298,49576799,9204499,84.34,53213763,44461481,83.55,5567535,5115318,91.88
32,1,8,1,BTFN+SplitJal,58781298,49576674,9204624,84.34,53213763,44461481,83.55,5567535,5115193,91.88
64,4,16,1,BTFN+SharedJal,58781298,49572028,9209270,84.33,53213763,44699627,84.00,5567535,4872401,87.51
64,4,32,1,BTFN+SharedJal,58781298,49572028,9209270,84.33,53213763,44699627,84.00,5567535,4872401,87.51
64,4,8,4,BTFN+SharedJal,58781298,49572028,9209270,84.33,53213763,44699627,84.00,5567535,4872401,87.51
64,4,8,2,BTFN+SharedJal,58781298,49572028,9209270,84.33,53213763,44699627,84.00,5567535,4872401,87.51
64,4,8,1,BTFN+SharedJal,58781298,49572028,9209270,84.33,53213763,44699627,84.00,5567535,4872401,87.51
64,4,4,4,BTFN+SharedJal,58781298,49572028,9209270,84.33,53213763,44699627,84.00,5567535,4872401,87.51
64,4,4,2,BTFN+SharedJal,58781298,49572028,9209270,84.33,53213763,44699627,84.00,5567535,4872401,87.51
64,4,4,1,BTFN+SharedJal,58781298,49572028,9209270,84.33,53213763,44699627,84.00,5567535,4872401,87.51
64,4,16,2,BTFN+SharedJal,58781298,49572028,9209270,84.33,53213763,44699627,84.00,5567535,4872401,87.51
64,4,32,2,BTFN+SharedJal,58781298,49572028,9209270,84.33,53213763,44699627,84.00,5567535,4872401,87.51
64,4,64,4,BTFN+SharedJal,58781298,49572028,9209270,84.33,53213763,44699627,84.00,5567535,4872401,87.51
