分支BTB组数,分支BTB相联度,jalBTB组数,jalBTB相联度,算法,总分支,正确,误预测,准确率(%),分支总数,分支正确,分支准确率(%),jal总数,jal正确,jal准确率(%)
16,4,64,4,BTFN+SplitJal,43502469,40501993,3000476,93.10,41502155,38501719,92.77,2000314,2000274,100.00
16,4,16,4,BTFN+SplitJal,43502469,40501993,3000476,93.10,41502155,38501719,92.77,2000314,2000274,100.00
64,4,4,2,BTFN+SharedJal,43502469,40501993,3000476,93.10,41502155,38501719,92.77,2000314,2000274,100.00
64,4,4,1,BTFN+SharedJal,43502469,40501993,3000476,93.10,41502155,38501719,92.77,2000314,2000274,100.00
64,4,4,4,BTFN+SharedJal,43502469,40501993,3000476,93.10,41502155,38501719,92.77,2000314,2000274,100.00
64,4,8,1,BTFN+SharedJal,43502469,40501993,3000476,93.10,41502155,38501719,92.77,2000314,2000274,100.00
64,4,8,2,BTFN+SharedJal,43502469,40501993,3000476,93.10,41502155,38501719,92.77,2000314,2000274,100.00
16,4,32,4,BTFN+SplitJal,43502469,40501993,3000476,93.10,41502155,38501719,92.77,2000314,2000274,100.00
64,4,8,4,BTFN+SharedJal,43502469,40501993,3000476,93.10,41502155,38501719,92.77,2000314,2000274,100.00
64,4,16,1,BTFN+SharedJal,43502469,40501993,3000476,93.10,41502155,38501719,92.77,2000314,2000274,100.00
16,4,64,2,BTFN+SplitJal,43502469,40501993,3000476,93.10,41502155,38501719,92.77,2000314,2000274,100.00
64,4,16,2,BTFN+SharedJal,43502469,40501993,3000476,93.10,41502155,38501719,92.77,2000314,2000274,100.00
64,4,16,4,BTFN+SharedJal,43502469,40501993,3000476,93.10,41502155,38501719,92.77,2000314,2000274,100.00
64,4,32,4,BTFN+SplitJal,43502469,40501993,3000476,93.10,41502155,38501719,92.77,2000314,2000274,100.00
64,4,64,4,BTFN+SplitJal,43502469,40501993,3000476,93.10,41502155,38501719,92.77,2000314,2000274,100.00
64,4,64,4,BTFN+SharedJal,43502469,40501993,3000476,93.10,41502155,38501719,92.77,2000314,2000274,100.00
