分支BTB组数,分支BTB相联度,jalBTB组数,jalBTB相联度,RAS深度,算法,总分支,正确,误预测,准确率(%),分支总数,分支正确,分支准确率(%),jal总数,jal正确,jal准确率(%),call总数,call正确,call准确率(%),ret总数,ret正确,ret准确率(%),jalr总数,jalr正确,jalr准确率(%)
16,4,32,4,8,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,64,2,32,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,64,2,16,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,64,2,8,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,64,2,4,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
4,4,4,1,32,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,64,1,32,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,64,1,16,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,64,1,8,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,64,1,4,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
4,4,4,2,4,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,32,4,32,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
8,2,64,4,32,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,32,4,16,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
4,4,4,2,8,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
4,4,4,1,16,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
8,1,8,4,4,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,32,4,4,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
4,4,4,2,16,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,32,2,32,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,32,2,16,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,32,2,8,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,32,2,4,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
4,4,4,2,32,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,32,1,32,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,32,1,16,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
16,4,32,1,8,AlwaysJump,15,14,1,93.33,3,2,66.67,3,3,100.00,3,3,100.00,4,4,100.00,2,2,100.00
