分支BTB组数,分支BTB相联度,jalBTB组数,jalBTB相联度,RAS深度,算法,总分支,正确,误预测,准确率(%),分支总数,分支正确,分支准确率(%),jal总数,jal正确,jal准确率(%),call总数,call正确,call准确率(%),ret总数,ret正确,ret准确率(%),jalr总数,jalr正确,jalr准确率(%)
64,4,4,4,8,BTFN+SharedJal,304702920,249912292,54790628,82.02,244368073,198696638,81.31,19592627,19592535,100.00,12871013,12870830,100.00,12871936,12568589,97.64,14999271,6183700,41.23
64,4,16,4,8,BTFN+SharedJal,304702920,249912292,54790628,82.02,244368073,198696638,81.31,19592627,19592535,100.00,12871013,12870830,100.00,12871936,12568589,97.64,14999271,6183700,41.23
64,4,32,4,8,BTFN+SharedJal,304702920,249912292,54790628,82.02,244368073,198696638,81.31,19592627,19592535,100.00,12871013,12870830,100.00,12871936,12568589,97.64,14999271,6183700,41.23
64,4,4,2,32,BTFN+SharedJal,304702920,249912292,54790628,82.02,244368073,198696638,81.31,19592627,19592535,100.00,12871013,12870830,100.00,12871936,12568589,97.64,14999271,6183700,41.23
64,4,16,4,4,BTFN+SharedJal,304702920,249912292,54790628,82.02,244368073,198696638,81.31,19592627,19592535,100.00,12871013,12870830,100.00,12871936,12568589,97.64,14999271,6183700,41.23
64,4,32,4,16,BTFN+SharedJal,304702920,249912292,54790628,82.02,244368073,198696638,81.31,19592627,19592535,100.00,12871013,12870830,100.00,12871936,12568589,97.64,14999271,6183700,41.23
64,4,4,4,4,BTFN+SharedJal,304702920,249912292,54790628,82.02,244368073,198696638,81.31,19592627,19592535,100.00,12871013,12870830,100.00,12871936,12568589,97.64,14999271,6183700,41.23
64,4,16,2,32,BTFN+SharedJal,304702920,249912292,54790628,82.02,244368073,198696638,81.31,19592627,19592535,100.00,12871013,12870830,100.00,12871936,12568589,97.64,14999271,6183700,41.23
64,4,32,4,32,BTFN+SharedJal,304702920,249912292,54790628,82.02,244368073,198696638,81.31,19592627,19592535,100.00,12871013,12870830,100.00,12871936,12568589,97.64,14999271,6183700,41.23
64,4,4,2,16,BTFN+SharedJal,304702920,249912292,54790628,82.02,244368073,198696638,81.31,19592627,19592535,100.00,12871013,12870830,100.00,12871936,12568589,97.64,14999271,6183700,41.23
64,4,64,1,4,BTFN+SharedJal,304702920,249912292,54790628,82.02,244368073,198696638,81.31,19592627,19592535,100.00,12871013,12870830,100.00,12871936,12568589,97.64,14999271,6183700,41.23
64,4,16,2,16,BTFN+SharedJal,304702920,249912292,54790628,82.02,244368073,198696638,81.31,19592627,19592535,100.00,12871013,12870830,100.00,12871936,12568589,97.64,14999271,6183700,41.23
64,4,4,4,16,BTFN+SharedJal,304702920,249912292,54790628,82.02,244368073,198696638,81.31,19592627,19592535,100.00,12871013,12870830,100.00,12871936,12568589,97.64,14999271,6183700,41.23
64,4,16,2,8,BTFN+SharedJal,304702920,249912292,54790628,82.02,244368073,198696638,81.31,19592627,19592535,100.00,12871013,12870830,100.00,12871936,12568589,97.64,14999271,6183700,41.23
64,4,4,4,32,BTFN+SharedJal,304702920,249912292,54790628,82.02,244368073,198696638,81.31,19592627,19592535,100.00,12871013,12870830,100.00,12871936,12568589,97.64,14999271,6183700,41.23
64,4,64,1,16,BTFN+SharedJal,304702920,249912292,54790628,82.02,244368073,198696638,81.31,19592627,19592535,100.00,12871013,12870830,100.00,12871936,12568589,97.64,14999271,6183700,41.23
64,4,16,2,4,BTFN+SharedJal,304702920,249912292,54790628,82.02,244368073,198696638,81.31,19592627,19592535,100.00,12871013,12870830,100.00,12871936,12568589,97.64,14999271,6183700,41.23
