块大小,块总数,相联度,替换策略,总访问,命中,缺失,强制缺失,容量缺失,冲突缺失,命中率
32,32,4,random,46667,46634,33,33,0,0,99.93%
32,32,8,random,46667,46634,33,33,0,0,99.93%
32,32,8,lru,46667,46634,33,33,0,0,99.93%
32,64,4,fifo,46667,46634,33,33,0,0,99.93%
32,64,4,lru,46667,46634,33,33,0,0,99.93%
32,64,4,random,46667,46634,33,33,0,0,99.93%
32,64,8,fifo,46667,46634,33,33,0,0,99.93%
32,64,8,lru,46667,46634,33,33,0,0,99.93%
32,64,8,random,46667,46634,33,33,0,0,99.93%
32,32,4,lru,46667,46634,33,33,0,0,99.93%
32,128,2,fifo,46667,46634,33,33,0,0,99.93%
32,128,2,lru,46667,46634,33,33,0,0,99.93%
32,128,2,random,46667,46634,33,33,0,0,99.93%
32,128,4,fifo,46667,46634,33,33,0,0,99.93%
32,128,4,lru,46667,46634,33,33,0,0,99.93%
32,128,4,random,46667,46634,33,33,0,0,99.93%
32,128,8,fifo,46667,46634,33,33,0,0,99.93%
32,128,8,lru,46667,46634,33,33,0,0,99.93%
32,128,8,random,46667,46634,33,33,0,0,99.93%
32,64,2,lru,46667,46633,34,33,0,1,99.93%
32,32,8,fifo,46667,46633,34,33,0,1,99.93%
32,32,4,fifo,46667,46633,34,33,0,1,99.93%
32,64,2,fifo,46667,46633,34,33,0,1,99.93%
32,128,1,random,46667,46632,35,33,0,2,99.93%
32,32,2,fifo,46667,46632,35,33,0,2,99.93%
32,32,2,lru,46667,46632,35,33,0,2,99.93%
32,128,1,lru,46667,46632,35,33,0,2,99.93%
32,128,1,fifo,46667,46632,35,33,0,2,99.93%
32,64,2,random,46667,46632,35,33,0,2,99.93%
32,64,1,lru,46667,46631,36,33,0,3,99.92%
32,64,1,fifo,46667,46631,36,33,0,3,99.92%
32,64,1,random,46667,46631,36,33,0,3,99.92%
32,16,4,lru,46667,46631,36,33,3,0,99.92%
32,16,2,lru,46667,46630,37,33,4,0,99.92%
32,16,8,lru,46667,46630,37,33,4,0,99.92%
32,16,2,fifo,46667,46629,38,33,4,1,99.92%
32,16,4,fifo,46667,46629,38,33,3,2,99.92%
32,16,4,random,46667,46628,39,33,2,4,99.92%
32,16,8,fifo,46667,46627,40,33,4,3,99.91%
32,32,2,random,46667,46627,40,33,0,7,99.91%
32,16,8,random,46667,46626,41,33,5,3,99.91%
32,16,2,random,46667,46625,42,33,4,5,99.91%
16,128,8,fifo,46667,46609,58,58,0,0,99.88%
16,128,4,random,46667,46609,58,58,0,0,99.88%
16,128,4,lru,46667,46609,58,58,0,0,99.88%
16,128,8,lru,46667,46609,58,58,0,0,99.88%
16,128,4,fifo,46667,46609,58,58,0,0,99.88%
16,128,8,random,46667,46609,58,58,0,0,99.88%
16,128,2,lru,46667,46608,59,58,0,1,99.87%
16,128,2,fifo,46667,46608,59,58,0,1,99.87%
16,64,8,lru,46667,46608,59,58,0,1,99.87%
