块大小,块总数,容量(B),相联度,替换策略,总访问,命中,缺失,强制缺失,容量缺失,冲突缺失,命中率
128,64,8192,8,random,1477430,1477387,43,43,0,0,100.00%
128,128,16384,8,random,1477430,1477387,43,43,0,0,100.00%
128,128,16384,8,lru,1477430,1477387,43,43,0,0,100.00%
128,128,16384,8,fifo,1477430,1477387,43,43,0,0,100.00%
128,128,16384,4,random,1477430,1477387,43,43,0,0,100.00%
128,128,16384,4,lru,1477430,1477387,43,43,0,0,100.00%
128,128,16384,4,fifo,1477430,1477387,43,43,0,0,100.00%
128,128,16384,2,random,1477430,1477387,43,43,0,0,100.00%
128,128,16384,2,lru,1477430,1477387,43,43,0,0,100.00%
128,128,16384,2,fifo,1477430,1477387,43,43,0,0,100.00%
128,128,16384,1,random,1477430,1477387,43,43,0,0,100.00%
128,128,16384,1,lru,1477430,1477387,43,43,0,0,100.00%
128,128,16384,1,fifo,1477430,1477387,43,43,0,0,100.00%
128,512,65536,8,random,1477430,1477387,43,43,0,0,100.00%
128,64,8192,8,lru,1477430,1477387,43,43,0,0,100.00%
128,64,8192,8,fifo,1477430,1477387,43,43,0,0,100.00%
128,64,8192,4,random,1477430,1477387,43,43,0,0,100.00%
128,64,8192,4,lru,1477430,1477387,43,43,0,0,100.00%
128,64,8192,4,fifo,1477430,1477387,43,43,0,0,100.00%
128,64,8192,2,random,1477430,1477387,43,43,0,0,100.00%
128,64,8192,2,lru,1477430,1477387,43,43,0,0,100.00%
128,64,8192,2,fifo,1477430,1477387,43,43,0,0,100.00%
128,64,8192,1,random,1477430,1477387,43,43,0,0,100.00%
128,64,8192,1,lru,1477430,1477387,43,43,0,0,100.00%
128,64,8192,1,fifo,1477430,1477387,43,43,0,0,100.00%
128,256,32768,1,lru,1477430,1477387,43,43,0,0,100.00%
128,256,32768,1,fifo,1477430,1477387,43,43,0,0,100.00%
128,512,65536,8,lru,1477430,1477387,43,43,0,0,100.00%
128,512,65536,8,fifo,1477430,1477387,43,43,0,0,100.00%
128,512,65536,4,random,1477430,1477387,43,43,0,0,100.00%
128,512,65536,4,lru,1477430,1477387,43,43,0,0,100.00%
128,512,65536,4,fifo,1477430,1477387,43,43,0,0,100.00%
128,512,65536,2,random,1477430,1477387,43,43,0,0,100.00%
128,512,65536,2,lru,1477430,1477387,43,43,0,0,100.00%
128,512,65536,2,fifo,1477430,1477387,43,43,0,0,100.00%
128,512,65536,1,random,1477430,1477387,43,43,0,0,100.00%
128,512,65536,1,lru,1477430,1477387,43,43,0,0,100.00%
128,512,65536,1,fifo,1477430,1477387,43,43,0,0,100.00%
128,256,32768,8,random,1477430,1477387,43,43,0,0,100.00%
128,256,32768,8,lru,1477430,1477387,43,43,0,0,100.00%
128,256,32768,8,fifo,1477430,1477387,43,43,0,0,100.00%
128,256,32768,4,random,1477430,1477387,43,43,0,0,100.00%
128,256,32768,4,lru,1477430,1477387,43,43,0,0,100.00%
128,256,32768,4,fifo,1477430,1477387,43,43,0,0,100.00%
128,256,32768,2,random,1477430,1477387,43,43,0,0,100.00%
128,256,32768,2,lru,1477430,1477387,43,43,0,0,100.00%
128,256,32768,2,fifo,1477430,1477387,43,43,0,0,100.00%
128,256,32768,1,random,1477430,1477387,43,43,0,0,100.00%
128,32,4096,8,lru,1477430,1477386,44,43,1,0,100.00%
128,32,4096,2,random,1477430,1477383,47,43,0,4,100.00%
128,32,4096,2,lru,1477430,1477382,48,43,0,5,100.00%
128,32,4096,2,fifo,1477430,1477382,48,43,0,5,100.00%
128,32,4096,4,lru,1477430,1477382,48,43,1,4,100.00%
128,32,4096,8,random,1477430,1477380,50,43,2,5,100.00%
128,32,4096,8,fifo,1477430,1477380,50,43,1,6,100.00%
128,32,4096,4,random,1477430,1477380,50,43,1,6,100.00%
128,32,4096,4,fifo,1477430,1477378,52,43,1,8,100.00%
128,16,2048,8,lru,1477430,1477366,64,43,20,1,100.00%
64,512,32768,4,random,1477430,1477365,65,65,0,0,100.00%
64,256,16384,8,fifo,1477430,1477365,65,65,0,0,100.00%
64,256,16384,8,lru,1477430,1477365,65,65,0,0,100.00%
64,256,16384,8,random,1477430,1477365,65,65,0,0,100.00%
64,512,32768,1,fifo,1477430,1477365,65,65,0,0,100.00%
64,512,32768,1,lru,1477430,1477365,65,65,0,0,100.00%
64,512,32768,1,random,1477430,1477365,65,65,0,0,100.00%
64,512,32768,2,fifo,1477430,1477365,65,65,0,0,100.00%
64,512,32768,2,lru,1477430,1477365,65,65,0,0,100.00%
64,512,32768,2,random,1477430,1477365,65,65,0,0,100.00%
64,512,32768,4,fifo,1477430,1477365,65,65,0,0,100.00%
64,512,32768,4,lru,1477430,1477365,65,65,0,0,100.00%
64,256,16384,4,lru,1477430,1477365,65,65,0,0,100.00%
64,512,32768,8,fifo,1477430,1477365,65,65,0,0,100.00%
64,512,32768,8,lru,1477430,1477365,65,65,0,0,100.00%
64,512,32768,8,random,1477430,1477365,65,65,0,0,100.00%
64,256,16384,1,fifo,1477430,1477365,65,65,0,0,100.00%
64,256,16384,1,lru,1477430,1477365,65,65,0,0,100.00%
64,128,8192,1,lru,1477430,1477365,65,65,0,0,100.00%
64,128,8192,8,fifo,1477430,1477365,65,65,0,0,100.00%
64,128,8192,4,random,1477430,1477365,65,65,0,0,100.00%
64,128,8192,4,lru,1477430,1477365,65,65,0,0,100.00%
64,128,8192,8,random,1477430,1477365,65,65,0,0,100.00%
64,128,8192,4,fifo,1477430,1477365,65,65,0,0,100.00%
64,128,8192,2,random,1477430,1477365,65,65,0,0,100.00%
64,128,8192,2,lru,1477430,1477365,65,65,0,0,100.00%
64,128,8192,2,fifo,1477430,1477365,65,65,0,0,100.00%
64,128,8192,1,random,1477430,1477365,65,65,0,0,100.00%
64,256,16384,4,random,1477430,1477365,65,65,0,0,100.00%
64,128,8192,1,fifo,1477430,1477365,65,65,0,0,100.00%
64,64,4096,8,lru,1477430,1477365,65,65,0,0,100.00%
64,64,4096,8,fifo,1477430,1477365,65,65,0,0,100.00%
64,256,16384,1,random,1477430,1477365,65,65,0,0,100.00%
64,256,16384,2,fifo,1477430,1477365,65,65,0,0,100.00%
64,256,16384,2,lru,1477430,1477365,65,65,0,0,100.00%
64,256,16384,2,random,1477430,1477365,65,65,0,0,100.00%
64,256,16384,4,fifo,1477430,1477365,65,65,0,0,100.00%
64,128,8192,8,lru,1477430,1477365,65,65,0,0,100.00%
64,64,4096,1,random,1477430,1477363,67,65,0,2,100.00%
64,64,4096,1,lru,1477430,1477363,67,65,0,2,100.00%
64,64,4096,1,fifo,1477430,1477363,67,65,0,2,100.00%
64,64,4096,8,random,1477430,1477363,67,65,0,2,100.00%
128,16,2048,4,lru,1477430,1477362,68,43,20,5,100.00%
64,64,4096,2,random,1477430,1477361,69,65,0,4,100.00%
64,64,4096,2,fifo,1477430,1477361,69,65,0,4,100.00%
64,64,4096,2,lru,1477430,1477360,70,65,0,5,100.00%
64,64,4096,4,lru,1477430,1477358,72,65,0,7,100.00%
128,16,2048,8,random,1477430,1477357,73,43,14,16,100.00%
64,64,4096,4,fifo,1477430,1477357,73,65,0,8,100.00%
128,16,2048,4,fifo,1477430,1477356,74,43,19,12,99.99%
128,16,2048,2,lru,1477430,1477356,74,43,17,14,99.99%
64,64,4096,4,random,1477430,1477356,74,65,0,9,99.99%
128,16,2048,8,fifo,1477430,1477351,79,43,20,16,99.99%
128,16,2048,2,fifo,1477430,1477350,80,43,19,18,99.99%
128,16,2048,2,random,1477430,1477349,81,43,18,20,99.99%
