块大小,块总数,容量(B),相联度,替换策略,总访问,命中,缺失,强制缺失,容量缺失,冲突缺失,命中率,缺失代价(事务数)
128,64,8192,2,lru,198,179,19,19,0,0,90.40%,608
128,128,16384,4,fifo,198,179,19,19,0,0,90.40%,608
128,128,16384,2,random,198,179,19,19,0,0,90.40%,608
128,128,16384,2,lru,198,179,19,19,0,0,90.40%,608
128,128,16384,2,fifo,198,179,19,19,0,0,90.40%,608
128,128,16384,1,random,198,179,19,19,0,0,90.40%,608
128,128,16384,1,lru,198,179,19,19,0,0,90.40%,608
128,128,16384,1,fifo,198,179,19,19,0,0,90.40%,608
128,64,8192,8,random,198,179,19,19,0,0,90.40%,608
128,64,8192,8,lru,198,179,19,19,0,0,90.40%,608
128,64,8192,8,fifo,198,179,19,19,0,0,90.40%,608
128,64,8192,4,random,198,179,19,19,0,0,90.40%,608
128,64,8192,4,lru,198,179,19,19,0,0,90.40%,608
128,64,8192,4,fifo,198,179,19,19,0,0,90.40%,608
128,64,8192,2,random,198,179,19,19,0,0,90.40%,608
128,512,65536,8,random,198,179,19,19,0,0,90.40%,608
128,64,8192,2,fifo,198,179,19,19,0,0,90.40%,608
128,32,4096,8,random,198,179,19,19,0,0,90.40%,608
128,32,4096,8,lru,198,179,19,19,0,0,90.40%,608
128,32,4096,8,fifo,198,179,19,19,0,0,90.40%,608
128,32,4096,4,random,198,179,19,19,0,0,90.40%,608
128,32,4096,4,lru,198,179,19,19,0,0,90.40%,608
128,32,4096,4,fifo,198,179,19,19,0,0,90.40%,608
128,32,4096,2,lru,198,179,19,19,0,0,90.40%,608
128,16,2048,8,random,198,179,19,19,0,0,90.40%,608
128,16,2048,8,lru,198,179,19,19,0,0,90.40%,608
128,16,2048,4,random,198,179,19,19,0,0,90.40%,608
128,16,2048,4,lru,198,179,19,19,0,0,90.40%,608
128,8,1024,8,lru,198,179,19,19,0,0,90.40%,608
128,8,1024,4,lru,198,179,19,19,0,0,90.40%,608
128,128,16384,4,random,198,179,19,19,0,0,90.40%,608
128,512,65536,8,lru,198,179,19,19,0,0,90.40%,608
128,512,65536,8,fifo,198,179,19,19,0,0,90.40%,608
128,512,65536,4,random,198,179,19,19,0,0,90.40%,608
128,512,65536,4,lru,198,179,19,19,0,0,90.40%,608
128,512,65536,4,fifo,198,179,19,19,0,0,90.40%,608
128,512,65536,2,random,198,179,19,19,0,0,90.40%,608
128,512,65536,2,lru,198,179,19,19,0,0,90.40%,608
128,512,65536,2,fifo,198,179,19,19,0,0,90.40%,608
128,512,65536,1,random,198,179,19,19,0,0,90.40%,608
128,512,65536,1,lru,198,179,19,19,0,0,90.40%,608
128,512,65536,1,fifo,198,179,19,19,0,0,90.40%,608
128,256,32768,8,random,198,179,19,19,0,0,90.40%,608
128,128,16384,4,lru,198,179,19,19,0,0,90.40%,608
128,256,32768,8,lru,198,179,19,19,0,0,90.40%,608
128,256,32768,4,random,198,179,19,19,0,0,90.40%,608
128,128,16384,8,fifo,198,179,19,19,0,0,90.40%,608
128,128,16384,8,lru,198,179,19,19,0,0,90.40%,608
128,128,16384,8,random,198,179,19,19,0,0,90.40%,608
128,256,32768,1,fifo,198,179,19,19,0,0,90.40%,608
128,256,32768,1,lru,198,179,19,19,0,0,90.40%,608
128,256,32768,1,random,198,179,19,19,0,0,90.40%,608
128,256,32768,2,fifo,198,179,19,19,0,0,90.40%,608
128,256,32768,2,random,198,179,19,19,0,0,90.40%,608
128,256,32768,8,fifo,198,179,19,19,0,0,90.40%,608
128,256,32768,4,lru,198,179,19,19,0,0,90.40%,608
