块大小,块总数,容量(B),相联度,策略,总访问,命中,缺失,读,读命中,写,写命中,写回,命中率(%)
128,32,4096,1,LRU,7,5,2,5,4,2,1,0,71.43
128,16,2048,1,Random,7,5,2,5,4,2,1,0,71.43
128,16,2048,2,FIFO,7,5,2,5,4,2,1,0,71.43
128,16,2048,2,LRU,7,5,2,5,4,2,1,0,71.43
128,16,2048,2,Random,7,5,2,5,4,2,1,0,71.43
128,16,2048,4,FIFO,7,5,2,5,4,2,1,0,71.43
128,16,2048,4,LRU,7,5,2,5,4,2,1,0,71.43
128,16,2048,4,Random,7,5,2,5,4,2,1,0,71.43
128,16,2048,8,FIFO,7,5,2,5,4,2,1,0,71.43
128,16,2048,8,LRU,7,5,2,5,4,2,1,0,71.43
128,16,2048,8,Random,7,5,2,5,4,2,1,0,71.43
128,32,4096,1,FIFO,7,5,2,5,4,2,1,0,71.43
128,16,2048,1,LRU,7,5,2,5,4,2,1,0,71.43
128,32,4096,1,Random,7,5,2,5,4,2,1,0,71.43
128,32,4096,2,FIFO,7,5,2,5,4,2,1,0,71.43
128,32,4096,2,LRU,7,5,2,5,4,2,1,0,71.43
128,32,4096,2,Random,7,5,2,5,4,2,1,0,71.43
128,32,4096,4,FIFO,7,5,2,5,4,2,1,0,71.43
128,32,4096,4,LRU,7,5,2,5,4,2,1,0,71.43
128,32,4096,4,Random,7,5,2,5,4,2,1,0,71.43
128,32,4096,8,FIFO,7,5,2,5,4,2,1,0,71.43
128,32,4096,8,LRU,7,5,2,5,4,2,1,0,71.43
128,32,4096,8,Random,7,5,2,5,4,2,1,0,71.43
128,64,8192,1,FIFO,7,5,2,5,4,2,1,0,71.43
128,8,1024,1,Random,7,5,2,5,4,2,1,0,71.43
128,4,512,1,FIFO,7,5,2,5,4,2,1,0,71.43
128,4,512,1,LRU,7,5,2,5,4,2,1,0,71.43
128,4,512,1,Random,7,5,2,5,4,2,1,0,71.43
128,4,512,2,FIFO,7,5,2,5,4,2,1,0,71.43
128,4,512,2,LRU,7,5,2,5,4,2,1,0,71.43
128,4,512,2,Random,7,5,2,5,4,2,1,0,71.43
128,4,512,4,FIFO,7,5,2,5,4,2,1,0,71.43
128,4,512,4,LRU,7,5,2,5,4,2,1,0,71.43
128,4,512,4,Random,7,5,2,5,4,2,1,0,71.43
128,8,1024,1,FIFO,7,5,2,5,4,2,1,0,71.43
128,8,1024,1,LRU,7,5,2,5,4,2,1,0,71.43
128,512,65536,8,Random,7,5,2,5,4,2,1,0,71.43
128,8,1024,2,FIFO,7,5,2,5,4,2,1,0,71.43
128,8,1024,2,LRU,7,5,2,5,4,2,1,0,71.43
128,8,1024,2,Random,7,5,2,5,4,2,1,0,71.43
128,8,1024,4,FIFO,7,5,2,5,4,2,1,0,71.43
128,8,1024,4,LRU,7,5,2,5,4,2,1,0,71.43
128,8,1024,4,Random,7,5,2,5,4,2,1,0,71.43
128,8,1024,8,FIFO,7,5,2,5,4,2,1,0,71.43
128,8,1024,8,LRU,7,5,2,5,4,2,1,0,71.43
128,8,1024,8,Random,7,5,2,5,4,2,1,0,71.43
128,16,2048,1,FIFO,7,5,2,5,4,2,1,0,71.43
128,512,65536,1,FIFO,7,5,2,5,4,2,1,0,71.43
128,256,32768,1,LRU,7,5,2,5,4,2,1,0,71.43
128,256,32768,1,Random,7,5,2,5,4,2,1,0,71.43
128,256,32768,2,FIFO,7,5,2,5,4,2,1,0,71.43
128,256,32768,2,LRU,7,5,2,5,4,2,1,0,71.43
128,256,32768,2,Random,7,5,2,5,4,2,1,0,71.43
128,256,32768,4,FIFO,7,5,2,5,4,2,1,0,71.43
128,256,32768,4,LRU,7,5,2,5,4,2,1,0,71.43
128,256,32768,4,Random,7,5,2,5,4,2,1,0,71.43
128,256,32768,8,FIFO,7,5,2,5,4,2,1,0,71.43
128,256,32768,8,LRU,7,5,2,5,4,2,1,0,71.43
128,256,32768,8,Random,7,5,2,5,4,2,1,0,71.43
128,64,8192,1,Random,7,5,2,5,4,2,1,0,71.43
128,512,65536,1,LRU,7,5,2,5,4,2,1,0,71.43
128,512,65536,1,Random,7,5,2,5,4,2,1,0,71.43
128,512,65536,2,FIFO,7,5,2,5,4,2,1,0,71.43
128,512,65536,2,LRU,7,5,2,5,4,2,1,0,71.43
128,512,65536,2,Random,7,5,2,5,4,2,1,0,71.43
128,512,65536,4,FIFO,7,5,2,5,4,2,1,0,71.43
128,512,65536,4,LRU,7,5,2,5,4,2,1,0,71.43
128,512,65536,4,Random,7,5,2,5,4,2,1,0,71.43
128,512,65536,8,FIFO,7,5,2,5,4,2,1,0,71.43
128,512,65536,8,LRU,7,5,2,5,4,2,1,0,71.43
128,64,8192,1,LRU,7,5,2,5,4,2,1,0,71.43
128,128,16384,8,Random,7,5,2,5,4,2,1,0,71.43
128,256,32768,1,FIFO,7,5,2,5,4,2,1,0,71.43
128,64,8192,2,FIFO,7,5,2,5,4,2,1,0,71.43
128,64,8192,2,LRU,7,5,2,5,4,2,1,0,71.43
128,64,8192,2,Random,7,5,2,5,4,2,1,0,71.43
128,64,8192,4,FIFO,7,5,2,5,4,2,1,0,71.43
128,64,8192,4,LRU,7,5,2,5,4,2,1,0,71.43
128,64,8192,4,Random,7,5,2,5,4,2,1,0,71.43
128,64,8192,8,FIFO,7,5,2,5,4,2,1,0,71.43
128,64,8192,8,LRU,7,5,2,5,4,2,1,0,71.43
128,64,8192,8,Random,7,5,2,5,4,2,1,0,71.43
128,128,16384,1,FIFO,7,5,2,5,4,2,1,0,71.43
128,128,16384,1,Random,7,5,2,5,4,2,1,0,71.43
128,128,16384,1,LRU,7,5,2,5,4,2,1,0,71.43
128,128,16384,8,LRU,7,5,2,5,4,2,1,0,71.43
128,128,16384,8,FIFO,7,5,2,5,4,2,1,0,71.43
128,128,16384,4,Random,7,5,2,5,4,2,1,0,71.43
128,128,16384,4,LRU,7,5,2,5,4,2,1,0,71.43
128,128,16384,4,FIFO,7,5,2,5,4,2,1,0,71.43
128,128,16384,2,Random,7,5,2,5,4,2,1,0,71.43
128,128,16384,2,LRU,7,5,2,5,4,2,1,0,71.43
128,128,16384,2,FIFO,7,5,2,5,4,2,1,0,71.43
32,256,8192,1,FIFO,7,4,3,5,3,2,1,0,57.14
32,128,4096,8,Random,7,4,3,5,3,2,1,0,57.14
32,128,4096,8,LRU,7,4,3,5,3,2,1,0,57.14
32,128,4096,8,FIFO,7,4,3,5,3,2,1,0,57.14
32,128,4096,4,Random,7,4,3,5,3,2,1,0,57.14
32,128,4096,4,LRU,7,4,3,5,3,2,1,0,57.14
32,128,4096,4,FIFO,7,4,3,5,3,2,1,0,57.14
32,128,4096,2,Random,7,4,3,5,3,2,1,0,57.14
32,128,4096,2,LRU,7,4,3,5,3,2,1,0,57.14
32,128,4096,2,FIFO,7,4,3,5,3,2,1,0,57.14
32,128,4096,1,Random,7,4,3,5,3,2,1,0,57.14
32,128,4096,1,LRU,7,4,3,5,3,2,1,0,57.14
32,128,4096,1,FIFO,7,4,3,5,3,2,1,0,57.14
32,64,2048,8,Random,7,4,3,5,3,2,1,0,57.14
32,64,2048,8,LRU,7,4,3,5,3,2,1,0,57.14
32,64,2048,8,FIFO,7,4,3,5,3,2,1,0,57.14
32,64,2048,4,Random,7,4,3,5,3,2,1,0,57.14
32,64,2048,4,LRU,7,4,3,5,3,2,1,0,57.14
32,64,2048,4,FIFO,7,4,3,5,3,2,1,0,57.14
32,64,2048,2,Random,7,4,3,5,3,2,1,0,57.14
32,64,2048,2,LRU,7,4,3,5,3,2,1,0,57.14
32,64,2048,2,FIFO,7,4,3,5,3,2,1,0,57.14
32,64,2048,1,Random,7,4,3,5,3,2,1,0,57.14
32,512,16384,1,FIFO,7,4,3,5,3,2,1,0,57.14
32,512,16384,8,Random,7,4,3,5,3,2,1,0,57.14
32,512,16384,8,LRU,7,4,3,5,3,2,1,0,57.14
32,512,16384,8,FIFO,7,4,3,5,3,2,1,0,57.14
32,512,16384,4,Random,7,4,3,5,3,2,1,0,57.14
32,512,16384,4,LRU,7,4,3,5,3,2,1,0,57.14
32,512,16384,4,FIFO,7,4,3,5,3,2,1,0,57.14
32,512,16384,2,Random,7,4,3,5,3,2,1,0,57.14
32,512,16384,2,LRU,7,4,3,5,3,2,1,0,57.14
32,512,16384,2,FIFO,7,4,3,5,3,2,1,0,57.14
32,512,16384,1,Random,7,4,3,5,3,2,1,0,57.14
32,512,16384,1,LRU,7,4,3,5,3,2,1,0,57.14
32,256,8192,1,LRU,7,4,3,5,3,2,1,0,57.14
32,256,8192,8,Random,7,4,3,5,3,2,1,0,57.14
32,256,8192,8,LRU,7,4,3,5,3,2,1,0,57.14
32,256,8192,8,FIFO,7,4,3,5,3,2,1,0,57.14
32,256,8192,4,Random,7,4,3,5,3,2,1,0,57.14
32,256,8192,4,LRU,7,4,3,5,3,2,1,0,57.14
32,256,8192,4,FIFO,7,4,3,5,3,2,1,0,57.14
32,256,8192,2,Random,7,4,3,5,3,2,1,0,57.14
32,256,8192,2,LRU,7,4,3,5,3,2,1,0,57.14
32,256,8192,2,FIFO,7,4,3,5,3,2,1,0,57.14
32,256,8192,1,Random,7,4,3,5,3,2,1,0,57.14
32,8,256,1,Random,7,4,3,5,3,2,1,1,57.14
32,16,512,1,LRU,7,4,3,5,3,2,1,0,57.14
32,16,512,1,FIFO,7,4,3,5,3,2,1,0,57.14
32,8,256,8,Random,7,4,3,5,3,2,1,0,57.14
32,8,256,8,LRU,7,4,3,5,3,2,1,0,57.14
32,8,256,8,FIFO,7,4,3,5,3,2,1,0,57.14
32,8,256,4,Random,7,4,3,5,3,2,1,0,57.14
32,8,256,4,LRU,7,4,3,5,3,2,1,0,57.14
32,8,256,4,FIFO,7,4,3,5,3,2,1,0,57.14
32,8,256,2,Random,7,4,3,5,3,2,1,0,57.14
32,8,256,2,LRU,7,4,3,5,3,2,1,0,57.14
32,8,256,2,FIFO,7,4,3,5,3,2,1,0,57.14
32,16,512,1,Random,7,4,3,5,3,2,1,0,57.14
32,8,256,1,LRU,7,4,3,5,3,2,1,1,57.14
32,8,256,1,FIFO,7,4,3,5,3,2,1,1,57.14
32,4,128,4,Random,7,4,3,5,3,2,1,0,57.14
32,4,128,4,LRU,7,4,3,5,3,2,1,0,57.14
32,4,128,4,FIFO,7,4,3,5,3,2,1,0,57.14
32,4,128,2,Random,7,4,3,5,3,2,1,0,57.14
32,4,128,2,LRU,7,4,3,5,3,2,1,0,57.14
32,4,128,2,FIFO,7,4,3,5,3,2,1,1,57.14
32,4,128,1,Random,7,4,3,5,3,2,1,1,57.14
32,4,128,1,FIFO,7,4,3,5,3,2,1,1,57.14
32,4,128,1,LRU,7,4,3,5,3,2,1,1,57.14
32,32,1024,1,LRU,7,4,3,5,3,2,1,0,57.14
32,64,2048,1,FIFO,7,4,3,5,3,2,1,0,57.14
32,32,1024,8,Random,7,4,3,5,3,2,1,0,57.14
32,32,1024,8,LRU,7,4,3,5,3,2,1,0,57.14
32,32,1024,8,FIFO,7,4,3,5,3,2,1,0,57.14
32,32,1024,4,Random,7,4,3,5,3,2,1,0,57.14
32,32,1024,4,LRU,7,4,3,5,3,2,1,0,57.14
32,32,1024,4,FIFO,7,4,3,5,3,2,1,0,57.14
32,32,1024,2,Random,7,4,3,5,3,2,1,0,57.14
32,32,1024,2,LRU,7,4,3,5,3,2,1,0,57.14
32,32,1024,2,FIFO,7,4,3,5,3,2,1,0,57.14
32,32,1024,1,Random,7,4,3,5,3,2,1,0,57.14
32,64,2048,1,LRU,7,4,3,5,3,2,1,0,57.14
32,32,1024,1,FIFO,7,4,3,5,3,2,1,0,57.14
32,16,512,8,Random,7,4,3,5,3,2,1,0,57.14
32,16,512,8,LRU,7,4,3,5,3,2,1,0,57.14
32,16,512,8,FIFO,7,4,3,5,3,2,1,0,57.14
32,16,512,4,Random,7,4,3,5,3,2,1,0,57.14
32,16,512,4,LRU,7,4,3,5,3,2,1,0,57.14
32,16,512,4,FIFO,7,4,3,5,3,2,1,0,57.14
32,16,512,2,Random,7,4,3,5,3,2,1,0,57.14
32,16,512,2,LRU,7,4,3,5,3,2,1,0,57.14
32,16,512,2,FIFO,7,4,3,5,3,2,1,0,57.14
64,128,8192,1,LRU,7,4,3,5,3,2,1,0,57.14
64,256,16384,1,FIFO,7,4,3,5,3,2,1,0,57.14
64,128,8192,8,Random,7,4,3,5,3,2,1,0,57.14
64,128,8192,8,LRU,7,4,3,5,3,2,1,0,57.14
64,128,8192,8,FIFO,7,4,3,5,3,2,1,0,57.14
64,128,8192,4,Random,7,4,3,5,3,2,1,0,57.14
64,128,8192,4,LRU,7,4,3,5,3,2,1,0,57.14
64,128,8192,4,FIFO,7,4,3,5,3,2,1,0,57.14
64,128,8192,2,Random,7,4,3,5,3,2,1,0,57.14
64,128,8192,2,LRU,7,4,3,5,3,2,1,0,57.14
64,128,8192,2,FIFO,7,4,3,5,3,2,1,0,57.14
64,128,8192,1,Random,7,4,3,5,3,2,1,0,57.14
64,256,16384,1,LRU,7,4,3,5,3,2,1,0,57.14
64,128,8192,1,FIFO,7,4,3,5,3,2,1,0,57.14
64,64,4096,8,Random,7,4,3,5,3,2,1,0,57.14
64,64,4096,8,LRU,7,4,3,5,3,2,1,0,57.14
64,64,4096,8,FIFO,7,4,3,5,3,2,1,0,57.14
64,64,4096,4,Random,7,4,3,5,3,2,1,0,57.14
64,64,4096,4,LRU,7,4,3,5,3,2,1,0,57.14
64,64,4096,4,FIFO,7,4,3,5,3,2,1,0,57.14
64,64,4096,2,Random,7,4,3,5,3,2,1,0,57.14
64,64,4096,2,LRU,7,4,3,5,3,2,1,0,57.14
64,64,4096,2,FIFO,7,4,3,5,3,2,1,0,57.14
64,64,4096,1,Random,7,4,3,5,3,2,1,0,57.14
64,512,32768,1,FIFO,7,4,3,5,3,2,1,0,57.14
64,512,32768,8,Random,7,4,3,5,3,2,1,0,57.14
64,512,32768,8,LRU,7,4,3,5,3,2,1,0,57.14
64,512,32768,8,FIFO,7,4,3,5,3,2,1,0,57.14
