Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
io_debug_pc[28]_reg_p_D_AOI222X0P5H7L_Y,1.2,3.398e-02,0.000e+00,1.017e-09,3.398e-02
io_debug_pc[10]_reg_p_D_AO221X0P5H7L_Y_C0_OAOI211X0P5H7L_Y_B0_AOAI211X0P5H7L_Y_A1_NOR4BBX0P5H7L_Y_AN_NAND4BBX4H7L_D,1.2,2.334e-02,0.000e+00,2.363e-09,2.334e-02
io_debug_pc[29]_reg_p_D_AOI221X1P4H7L_Y,1.2,1.682e-02,0.000e+00,1.264e-09,1.682e-02
io_debug_pc[20]_reg_p_D_AO221X0P5H7L_Y_C0_MUX2X0P5H7L_Y_S0_BUFX16H7L_A,1.2,1.624e-02,0.000e+00,9.962e-09,1.624e-02
io_debug_pc[20]_reg_p_D_AO221X0P5H7L_Y,1.2,1.449e-02,0.000e+00,1.833e-09,1.449e-02
io_debug_pc[21]_reg_p_D_AOI221X0P5H7L_Y,1.2,1.383e-02,0.000e+00,7.564e-10,1.383e-02
io_debug_pc[22]_reg_p_D_AOI221X0P5H7L_Y,1.2,1.363e-02,0.000e+00,7.581e-10,1.363e-02
io_debug_pc[25]_reg_p_D_OAI21X0P5H7L_Y_B0_AOI32X0P5H7L_Y,1.2,1.354e-02,0.000e+00,7.123e-10,1.354e-02
io_debug_pc[30]_reg_p_D_AO222X0P5H7L_Y,1.2,1.296e-02,0.000e+00,1.829e-09,1.296e-02
io_debug_pc[9]_reg_p_D_AO222X0P5H7L_Y,1.2,1.265e-02,0.000e+00,1.829e-09,1.265e-02
io_debug_pc[3]_reg_p_D_AO222X0P5H7L_Y,1.2,1.243e-02,0.000e+00,1.829e-09,1.243e-02
io_debug_pc[17]_reg_p_D_AO222X0P5H7L_Y,1.2,1.243e-02,0.000e+00,1.829e-09,1.243e-02
io_debug_pc[13]_reg_p_D_AO222X0P5H7L_Y,1.2,1.232e-02,0.000e+00,1.829e-09,1.232e-02
io_debug_pc[16]_reg_p_D_AO222X0P5H7L_Y,1.2,1.230e-02,0.000e+00,1.829e-09,1.230e-02
io_debug_pc[24]_reg_p_D_AO222X0P5H7L_Y,1.2,1.227e-02,0.000e+00,1.829e-09,1.227e-02
io_debug_pc[23]_reg_p_D_AO222X0P5H7L_Y,1.2,1.216e-02,0.000e+00,1.829e-09,1.216e-02
io_debug_pc[27]_reg_p_D_AO222X0P5H7L_Y,1.2,1.216e-02,0.000e+00,1.830e-09,1.216e-02
io_debug_pc[12]_reg_p_D_AO222X0P5H7L_Y,1.2,1.216e-02,0.000e+00,1.829e-09,1.216e-02
io_debug_pc[7]_reg_p_D_AO222X0P5H7L_Y,1.2,1.181e-02,0.000e+00,1.829e-09,1.181e-02
io_debug_pc[10]_reg_p_D_AO221X0P5H7L_Y,1.2,1.108e-02,0.000e+00,1.763e-09,1.108e-02
io_debug_pc[19]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X1P4H7L_Y,1.2,1.108e-02,0.000e+00,9.550e-10,1.108e-02
io_debug_pc[2]_reg_p_D_OAI21X0P5H7L_Y_A1_MUX2X0P5H7L_Y_S0_BUFX10H7L_Y_A_OAI21X4H7L_Y,1.2,1.079e-02,0.000e+00,2.312e-09,1.079e-02
io_debug_pc[2]_reg_p_D_OAI21X0P5H7L_Y_A1_MUX2X0P5H7L_Y_S0_BUFX10H7L_Y,1.2,1.077e-02,0.000e+00,7.544e-09,1.077e-02
io_debug_pc[19]_reg_p_D_AO222X0P5H7L_Y,1.2,1.026e-02,0.000e+00,1.773e-09,1.026e-02
io_debug_pc[11]_reg_p_D_AO222X0P5H7L_Y,1.2,1.011e-02,0.000e+00,1.819e-09,1.011e-02
io_debug_pc[31]_reg_p_D_AO222X0P5H7L_Y,1.2,1.004e-02,0.000e+00,1.819e-09,1.004e-02
io_debug_pc[27]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y_B0_OAI221X0P5H7L_Y,1.2,9.796e-03,0.000e+00,6.402e-10,9.796e-03
pred_tag_taken_reg_p_D_AOI211X0P5H7L_Y_A0_BUFX20H7L_A,1.2,9.777e-03,0.000e+00,1.368e-08,9.777e-03
io_debug_pc[26]_reg_p_D_AOAI211X0P5H7L_Y_A0_OAI211X1P4H7L_Y,1.2,8.822e-03,0.000e+00,6.684e-10,8.822e-03
io_debug_pc[30]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y,1.2,8.719e-03,0.000e+00,7.558e-10,8.719e-03
io_debug_pc[22]_reg_p_D_AOI221X0P5H7L_Y_B1_AOI22X0P5H7L_Y,1.2,8.670e-03,0.000e+00,8.573e-10,8.670e-03
io_debug_pc[21]_reg_p_D_AOI221X0P5H7L_Y_B1_AOI22X0P5H7L_Y,1.2,8.648e-03,0.000e+00,8.583e-10,8.648e-03
io_perf_trap_OAOI211X4H7L_C0,1.2,8.617e-03,0.000e+00,2.163e-09,8.617e-03
io_debug_pc[9]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y,1.2,8.448e-03,0.000e+00,7.513e-10,8.448e-03
io_debug_pc[3]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y,1.2,8.274e-03,0.000e+00,7.472e-10,8.274e-03
io_debug_pc[17]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y,1.2,8.249e-03,0.000e+00,7.489e-10,8.249e-03
io_debug_pc[13]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y,1.2,8.153e-03,0.000e+00,7.403e-10,8.153e-03
io_debug_pc[16]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y,1.2,8.120e-03,0.000e+00,7.407e-10,8.120e-03
io_debug_pc[24]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y,1.2,8.105e-03,0.000e+00,7.492e-10,8.105e-03
io_debug_pc[18]_reg_p_D_OAI33X1P4H7L_Y,1.2,8.064e-03,0.000e+00,8.050e-10,8.064e-03
io_debug_pc[27]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y,1.2,8.031e-03,0.000e+00,7.519e-10,8.031e-03
io_debug_pc[23]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y,1.2,8.010e-03,0.000e+00,7.478e-10,8.010e-03
io_debug_pc[12]_reg_p_D_AO222X0P5H7L_Y_C0_OAI31X0P5H7L_Y,1.2,8.010e-03,0.000e+00,7.492e-10,8.010e-03
io_debug_pc[8]_reg_p_D_NOR4X1H7L_Y_D_MUX2X3H7L_Y,1.2,7.876e-03,0.000e+00,4.519e-09,7.876e-03
io_debug_pc[25]_reg_p_D_OAI21X0P5H7L_Y,1.2,7.838e-03,0.000e+00,7.108e-10,7.838e-03
io_debug_pc[10]_reg_p_D_AO221X0P5H7L_Y_C0_OAOI211X0P5H7L_Y_B0_AOAI211X0P5H7L_Y_A1_NOR4BBX0P5H7L_Y_AN_NAND4BBX4H7L_D_Y_BUFX7H7L_A,1.2,7.750e-03,0.000e+00,4.862e-09,7.750e-03
